Room Number,Room Name,Location,Capacity,Category,Furniture Type,Digital Projection,Projector Screen,DVD,VHS,Visualiser,Radio Mic,TV monitor,Interactive Whiteboard,Whiteboard (s),Other,Black Out Blinds,Telephone Extension,Comments,Space controlled by 
A1,Atrium Stand 1,East Building,multi-use,exhibition space,None,,,,,,,,,,,,N/A,exhibition space only; individual bookings subject to separate risk assessments,Facilties 
A2,Atrium Stand 2,East Building,multi-use,exhibition space,None,,,,,,,,,,,,N/A,exhibition space only; individual bookings subject to separate risk assessments,Facilties 
A3,Atrium Stand 3,East Building,multi-use,exhibition space,None,,,,,,,,,,,,N/A,exhibition space only; individual bookings subject to separate risk assessments,Facilties 
A4,Atrium Stand 4,East Building,multi-use,exhibition space,None,,,,,,,,,,,,N/A,exhibition space only; individual bookings subject to separate risk assessments,Facilties 
AVA.1.02,AVA.1.02 - Studio 8 YRO,AVA Building,15,flat room,specialist workstations,,,,,,,,,,,,,Limited to ADI bookings only,ADI
AVA.1.06A,AVA.1.06A - Studio 7 DVAC,AVA Building,15,flat room,specialist workstations,,,,,,,,,,,,,Limited to ADI bookings only,ADI
AVA.1.06B,AVA.1.06B - Studio 6 Photo Shoot Studio,AVA Building,15,flat room,specialist workstations,,,,,,,,,,,,,Limited to ADI bookings only,ADI
AVA.1.06D,AVA.1.06D - Studio 14 Photography,AVA Building,15,flat room,specialist workstations,,,,,,,,,,,,,Limited to ADI bookings only,ADI
AVA.1.06E,AVA.1.06E - Studio 13 Main Graphic Design Studio,AVA Building,15,flat room,specialist workstations,,,,,,,,,,,,,Limited to ADI bookings only,ADI
AVA.1.18,AVA.1.18 - Studio 5 (ACE) Architecture,AVA Building,15,flat room,specialist workstations,,,,,,,,,,,,,Limited to ACE bookings only,ACE
AVA.1.19,AVA.1.19 - Product Design Studio,AVA Building,30,flat room,specialist workstations,,,,,,,,,,,,,Limited to ACE bookings only,ACE
AVA.1.25,AVA.1.25 - Digital Darkroom,AVA Building,15,flat room,specialist workstations,,,,,,,,,,,,,Limited to ADI bookings only,ADI
AVA.1.27,PC Laboratory,AVA Building,20,flat room,IT Workstations,,,,,,,,,●,,,N/A,Limited to ACE bookings only,ACE
AVA.1.28,PC / Mac Laboratroy,AVA Building,29,flat room,IT Workstations,,,,,,,,,●,,,N/A,Limited to ACE bookings only,ACE
AVA.1.29,MacLab,AVA Building,20,flat room,IT Workstations,,,,,,,,,●,,,N/A,Limited to ADI bookings only,ADI
AVA.1.34,AVA.1.34 - Fashion Cad Space,AVA Building,15,flat room,specialist workstations,,,,,,,,,,,,,Limited to ADI bookings only,ADI
AVA.1.40,AVA.1.40 - Studio 11 Fashion,AVA Building,15,flat room,specialist workstations,,,,,,,,,,,,,Limited to ADI bookings only,ADI
AVA.1.44,AVA.1.44 - Studio 10 Textiles,AVA Building,15,flat room,specialist workstations,,,,,,,,,,,,,Limited to ADI bookings only,ADI
AVA.1.45,AVA.1.45,AVA Building,16,flat room,specialist workstations,,,,,,,,,,,,,Limited to ADI bookings only,ADI
AVA.1.46A,AVA.1.46A - Studio 9,AVA Building,15,flat room,specialist workstations,,,,,,,,,,,,,Limited to ADI bookings only,ADI
AVA.1.46B,AVA.1.46B - Studio 12,AVA Building,15,flat room,specialist workstations,,,,,,,,,,,,,Limited to ADI bookings only,ADI
AVA..1.49/51,AVA..1.49/51 - Studio 15 Graphic Design Studio,AVA Building,15,flat room,tables and chairs,,,,,,,,,●,,,N/A,Limited to ADI bookings only,ADI
AVA.G.04,AVA.G.04 - Studio 1 Architecture,AVA Building,15,flat room,specialist workstations,,,,,,,,,,,,,Limited to ACE bookings only,ACE
AVA.G.12,AVA.G.12 - Metal/Casting Workshop,AVA Building,15,flat room,specialist workstations,,,,,,,,,,,,,Limited to AVA bookings only,ADI
AVA.G.22,AVA.G.22 - Studio 2 Fine Art,AVA Building,15,flat room,specialist workstations,,,,,,,,,,,,,Limited to AVA bookings only,ADI
AVA.G.25,AVA.G.25 - Textiles Workshop,AVA Building,15,flat room,specialist workstations,,,,,,,,,,,,,Limited to AVA bookings only,ADI
AVA.G.26,AVA.G.26 - AVA Lecture Theatre,AVA Building,50,flat room,chairs only,●,,,,,,,,●,,,N/A,,Shared space ADI/ACE
AVA.G.28,AVA.G.28 - Studio 3 Fine Art,AVA Building,15,flat room,specialist workstations,,,,,,,,,,,,,Limited to AVA bookings only,ADI
AVA.G.34,AVA.G.34 - Imersive Lab,AVA Building,15,flat room,specialist workstations,,,,,,,,,,,,,Limited to AVA bookings only,ADI
AVA.G.35,AVA.G.35 - Print Workshop,AVA Building,15,flat room,specialist workstations,,,,,,,,,,,,,Limited to AVA bookings only,ADI
AVA.G.36,AVA.G.36 - Studio 4 (MA Space) Fine Art,AVA Building,15,flat room,specialist workstations,,,,,,,,,,,,,Limited to AVA bookings only,ADI
AVA.G.45,AVA.G.45 - Login Gateway,AVA Building,15,flat room,specialist workstations,,,,,,,,,,,,,Limited to AVA bookings only,ADI
